Source,Target,Weight,
16665655,9787757,0.675038,
16688238,16691792,0.731059,
16688238,3565779,0.703048,
16691792,16688238,0.982014,
16691792,21386310,0.731059,
16691792,33112318,0.731059,
16691792,4128353,0.703048,
16691792,4973784,0.793892,
167174,11969507,0.731059,
167174,15495333,0.793892,
167174,168370,0.703048,
167174,25033964,0.703048,
167174,321278,0.703048,
167174,32355438,0.703048,
167174,9787757,0.714366,
16746795,2129739,0.703048,
16746795,24325875,0.731059,
16752620,23096959,0.731059,
16752620,321278,0.793892,
16819795,11778024,0.731059,
16831466,10969551,0.864984,
16831466,8711353,0.997527,
16831760,203666,0.952574,
168370,107872,0.880797,
168370,117302,0.731059,
168370,13347640,0.703048,
168370,23096959,0.703048,
168370,2560988,0.703048,
168370,30030653,0.703048,
168370,34856295,0.793892,
168370,3606738,0.703048,
168370,3757512,0.703048,
168370,41881900,0.703048,
168370,48296,0.703048,
168370,714074,0.703048,
168370,8514,0.731059,
168370,9787757,0.701936,
16851127,24773848,0.793892,
16851127,4025121,0.731059,
16865424,2189967,0.731059,
16865424,33015583,0.703048,
16924500,2968000,0.731059,
1695405,22148545,0.703048,
1695405,23652126,0.731059,
1695406,1695405,0.703048,
1695406,23652126,0.731059,
16963741,14241623,0.731059,
16994115,30985840,0.731059,
17003578,596892,0.731059,
17053199,15045751,0.703048,
17053199,9787757,0.703117,
17084864,15508537,0.731059,
17085014,1446467,0.793892,
17085014,2935735,0.731059,
17089728,14712850,0.731059,
17089728,23096959,0.731059,
17089728,28710753,0.703048,
17132838,16191201,0.952574,
17132838,9887009,0.880797,
17155108,1090311,0.880797,
17157565,2203645,0.837103,
17157565,2729788,0.880797,
17157565,9787757,0.701936,
17163720,3606738,0.731059,
17163720,931135,0.880797,
1717192,446086,0.731059,
1717192,7691631,0.703048,
1725199,7691631,0.793892,
17303641,13753636,0.703048,
17303641,14132156,0.703048,
17303641,17303641,0.703048,
17303641,24560307,0.703048,
17303641,2983241,0.703048,
17303641,32104924,0.703048,
17303641,34876145,0.703048,
17303641,35229527,0.703048,
17303641,35310228,0.703048,
17303641,488514,0.731059,
17303641,640534,0.703048,
17303641,7253769,0.731059,
17303641,8629417,0.703048,
17303641,873328,0.703048,
17307763,3594497,0.703048,
17327535,65252,0.731059,
17372733,18997610,0.731059,
17372733,19390712,0.880797,
17372733,31404980,0.703048,
17372733,720294,0.703048,
17372733,9787757,0.698848,
17374588,17374628,0.731059,
17374588,19097645,0.993307,
17374588,3149845,0.982014,
17374588,5474834,0.880797,
17374588,7789923,0.731059,
17374588,9207280,0.703048,
17374628,17374588,0.997527,
17374628,19097645,0.731059,
17374628,19390712,0.703048,
17386215,34064493,0.703048,
17386215,34068092,0.731059,
17417350,34294743,0.731059,
17448603,3319769,0.703048,
17448603,34876145,0.731059,
17453060,1181927,0.703048,
17453060,14536054,0.880797,
17453060,18410674,0.731059,
1748738,8514,0.731059,
17508889,30081396,0.703048,
17508889,3594497,0.731059,
17528018,28305425,0.837103,
17528018,40212760,0.997527,
17582613,32024574,0.703048,
17592572,11939484,0.703048,
17592572,16174770,0.880797,
17620347,14225208,0.703048,
17620347,16185172,0.837103,
17620347,21449162,0.731059,
17620347,9787757,0.703720,
17645158,9393759,0.731059,
17668033,1084114,0.703048,
17689377,321278,0.731059,
17689377,44370687,0.703048,
17728164,11225014,0.703048,
17728164,1362490,0.703048,
17728164,14125254,0.703048,
17728164,15045751,0.793892,
17728164,27576132,0.731059,
17728164,9787757,0.675038,
17761383,3877327,0.731059,
17761383,7994556,0.703048,
17762549,15388290,0.731059,
1778471,1362490,0.880797,
1778471,15778059,0.703048,
1778471,23774298,0.703048,
17803236,17728164,0.731059,
17832726,10664,0.731059,
17925227,23127683,0.731059,
17925227,36898319,0.793892,
17925227,5577220,0.703048,
17958761,21915931,0.952574,
17958761,22737333,0.837103,
1797133,8514,0.880797,
1801829,14089735,0.952574,
1801829,22767401,0.731059,
1801829,2649031,0.731059,
1801829,8921879,0.731059,
18023059,23086156,0.837103,
18031064,1460385,0.703048,
18031064,843222,0.731059,
18033628,11167738,0.731059,
18045013,1200050,0.731059,
18113139,2081289,0.880797,
1811965,10664,0.731059,
1811965,7639232,0.731059,
18128548,7691631,0.952574,
18135369,3807749,0.731059,
18188537,7512484,0.880797,
18193978,26820798,0.731059,
18196184,12256376,0.731059,
18198033,2296970,0.731059,
18225913,19272315,0.731059,
18225913,23096959,0.865529,
18238828,20415251,0.731059,
18248068,8514,0.880797,
18304157,1084114,0.731059,
18342541,17668033,0.731059,
18351718,21233191,0.703048,
18388099,5710341,0.731059,
